Macrotrends Data Download

US Dollar Swiss Franc Exchange Rate (USD CHF) - Historical Chart

"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY"
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date, value
1991-01-02,1.2645
1991-01-03,1.2655
1991-01-04,1.2750
1991-01-07,1.2925
1991-01-08,1.2970
1991-01-09,1.2915
1991-01-10,1.2822
1991-01-11,1.2775
1991-01-14,1.2830
1991-01-15,1.2855
1991-01-16,1.2885
1991-01-17,1.2700
1991-01-18,1.2620
1991-01-21,1.2510
1991-01-22,1.2600
1991-01-23,1.2510
1991-01-24,1.2568
1991-01-25,1.2630
1991-01-28,1.2640
1991-01-29,1.2670
1991-01-30,1.2625
1991-01-31,1.2590
1991-02-01,1.2525
1991-02-04,1.2510
1991-02-05,1.2437
1991-02-06,1.2333
1991-02-07,1.2440
1991-02-08,1.2445
1991-02-11,1.2372
1991-02-12,1.2475
1991-02-13,1.2535
1991-02-14,1.2573
1991-02-15,1.2685
1991-02-19,1.2790
1991-02-20,1.2795
1991-02-21,1.2755
1991-02-22,1.2945
1991-02-25,1.3020
1991-02-26,1.3080
1991-02-27,1.3155
1991-02-28,1.3238
1991-03-01,1.3370
1991-03-04,1.3362
1991-03-05,1.3440
1991-03-06,1.3390
1991-03-07,1.3490
1991-03-08,1.3700
1991-03-11,1.3710
1991-03-12,1.3610
1991-03-13,1.3660
1991-03-14,1.3720
1991-03-15,1.3935
1991-03-18,1.4070
1991-03-19,1.4210
1991-03-20,1.4155
1991-03-21,1.4070
1991-03-22,1.4145
1991-03-25,1.4375
1991-03-26,1.4320
1991-03-27,1.4560
1991-03-28,1.4540
1991-04-01,1.4215
1991-04-02,1.4175
1991-04-03,1.4230
1991-04-04,1.4035
1991-04-05,1.4220
1991-04-08,1.4375
1991-04-09,1.4080
1991-04-10,1.4280
1991-04-11,1.4115
1991-04-12,1.4260
1991-04-15,1.4180
1991-04-16,1.4170
1991-04-17,1.4230
1991-04-18,1.4553
1991-04-19,1.4680
1991-04-22,1.4700
1991-04-23,1.4525
1991-04-24,1.4615
1991-04-25,1.4661
1991-04-26,1.4760
1991-04-29,1.4725
1991-04-30,1.4427
1991-05-01,1.4475
1991-05-02,1.4580
1991-05-03,1.4755
1991-05-06,1.4670
1991-05-07,1.4515
1991-05-08,1.4625
1991-05-09,1.4610
1991-05-10,1.4540
1991-05-13,1.4420
1991-05-14,1.4295
1991-05-15,1.4250
1991-05-16,1.4367
1991-05-17,1.4705
1991-05-20,1.4615
1991-05-21,1.4475
1991-05-22,1.4595
1991-05-23,1.4540
1991-05-24,1.4510
1991-05-28,1.4430
1991-05-29,1.4600
1991-05-30,1.4620
1991-05-31,1.4845
1991-06-03,1.4920
1991-06-04,1.4910
1991-06-05,1.4953
1991-06-06,1.5030
1991-06-07,1.5180
1991-06-10,1.5100
1991-06-11,1.5150
1991-06-12,1.5295
1991-06-13,1.5385
1991-06-14,1.5380
1991-06-17,1.5415
1991-06-18,1.5635
1991-06-19,1.5380
1991-06-20,1.5350
1991-06-21,1.5480
1991-06-24,1.5340
1991-06-25,1.5495
1991-06-26,1.5465
1991-06-27,1.5495
1991-06-28,1.5520
1991-07-01,1.5670
1991-07-02,1.5820
